Ln_Price,DSALE,BEDROOM,Ln_SQFT,Ln_LotSize,CENTRALAIR,BRICK,GARAGE,FIREPLACE,BASE_FIN,MASONRY,PUBOPEN,MICHLAKE,LAKE_RIVER,METRA_DIST,RAIL_DIST
12.70684793,0,3,6.830874235,8.672999643,1,1,1,1,1,1,0,0,0,1.64742,0.11679
12.7367009,0,5,7.957877358,8.548691858,1,1,2,0,0,1,0,0,0,1.54118,0.16368
12.87390202,0,3,7.094234846,8.407378325,1,1,2,0,1,1,1,0,0,1.56858,0.7014
12.7628272,0,3,6.866933284,8.229511119,1,1,2,0,1,1,0,0,0,0.75683,0.38155
12.97154049,0,3,7.095064377,8.047189562,1,1,2,1,0,1,0,0,0,0.85557,0.43525
12.87390202,0,3,7.183870715,7.35372233,0,1,2,1,0,1,0,0,0,0.80593,0.42465
12.75708006,0,3,7.262628601,8.161375023,1,1,2,0,0,1,0,0,0,0.70762,0.38595
12.80077975,0,3,7.253470383,8.139148679,1,1,2,0,0,1,1,0,0,0.65925,0.35044
12.79385931,0,3,6.994849986,8.127995056,1,1,1,0,0,1,1,0,0,0.68932,0.39332
12.4292162,0,2,6.958448393,8.047189562,1,1,0,0,1,1,0,0,0,0.62643,0.12176
12.78408952,0,2,6.958448393,8.047189562,1,1,0,0,1,1,0,0,0,0.62643,0.12176
11.22524339,0,3,6.977281342,8.536995819,1,1,2,0,0,1,1,0,0,0.73472,0.54906
12.78549106,0,3,6.7310181,8.575650761,1,0,2,0,1,0,1,0,0,0.70601,0.52158
12.89169156,0,3,7.390181428,8.575650761,1,0,2,0,0,0,1,0,0,0.69302,0.51613
12.89921983,0,3,7.005789019,8.722254235,1,1,2,0,0,1,1,0,0,0.71408,0.53246
12.70076889,0,3,7.215239979,8.229511119,1,0,2,0,0,0,0,0,0,0.86665,0.62473
12.76568843,0,3,6.866933284,8.229511119,0,1,1,0,0,1,0,0,0,0.78415,0.59033
12.61153775,0,3,7.126890809,8.418477218,1,1,2,0,0,1,1,0,0,0.97225,0.67855
12.60148742,0,3,7.515889085,8.216088099,0,1,3,1,0,1,1,0,0,0.65242,0.45859
12.91410844,0,3,6.884486652,8.216088099,0,1,1,1,0,1,1,0,0,0.66719,0.46782
12.98310131,0,3,7.221105098,8.415160466,1,1,2,0,0,1,1,0,0,0.65203,0.46409
13.39239051,0,4,7.739794458,8.229511119,1,1,2,1,1,1,0,0,0,0.81049,0.56905
12.86099861,0,3,6.795705775,8.229511119,1,1,2,0,0,1,0,0,0,0.74858,0.54707
12.7512997,0,3,7.243512975,8.229511119,1,1,2,0,1,1,0,0,0,0.76943,0.55971
12.66032792,0,2,6.839476438,8.203577737,1,1,2,0,0,1,1,0,0,0.52203,0.37539
12.4292162,0,2,7.6118424,8.418477218,0,1,2,0,1,0,0,0,0,0.81717,0.59397
12.84264947,0,2,7.6118424,8.418477218,0,1,2,0,1,0,0,0,0,0.81717,0.59397
12.87390202,0,3,7.057897937,8.418477218,0,1,2,0,0,1,0,0,0,0.78952,0.57195
12.82125828,0,3,7.337587744,8.418477218,0,1,2,2,1,1,1,0,0,0.90325,0.62365
12.63460303,0,2,6.88550967,7.937374696,1,1,2,1,1,1,1,0,0,1.67097,0.63825
12.80765263,0,3,6.946975992,7.937374696,1,1,2,0,0,1,0,0,0,1.60472,0.56131
12.43718437,0,2,7.064759028,8.573384471,0,1,2,0,1,1,0,0,0,1.52126,0.51607
12.78828827,0,3,6.66440902,8.715552126,1,1,2,0,1,1,0,0,0,1.36344,0.23486
12.8967167,0,5,7.012115294,8.517193191,1,1,2,1,0,1,1,0,0,1.42271,0.51735
13.32937755,0,5,7.844240718,8.517193191,1,1,1,2,0,1,1,0,0,1.32219,0.5012
12.97386337,0,2,7.258412151,8.656955134,1,1,1,0,0,1,1,0,0,1.43101,0.68113
13.02143746,0,2,7.258412151,8.656955134,1,1,1,0,0,1,1,0,0,1.43101,0.68113
13.21767356,0,2,7.328437353,8.740336743,1,1,1,0,0,1,1,0,0,1.47109,0.63789
12.9360338,0,4,8.134174272,8.262816938,1,1,2,2,1,1,1,0,0,1.37596,0.55448
